## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 -176.834, -55.3751, 150.63, 240.977, 167.497, 58.2264, 63.3595, 189.308
 165.032, -125.132, 419.378, 467.98, -153.95, 119.343, 504.484, 541.583
 31.6544, -202.513, -907.098, 930.309, -31.1246, 164.281, -544.818, 570.943
 -182.364, 79.3356, -945.337, 966.698, 146.151, -63.0736, -1094.66, 1106.88
 -65.9179, 55.7203, 109.604, 140.23, 64.3398, -53.3683, -193.753, 212.098
 -159.46, -27.2299, -684.502, 704.077, 57.7711, 4.34465, -84.2636, 102.855
 147.017, 135.008, 107.191, 230.577, -146.953, -134.324, 96.3783, 221.878
 80.9783, -150.402, 30.0824, 174.586, -80.688, 144.521, 248.825, 299.499
 -191.254, -18.3783, -128.106, 234.73, 177.38, 39.5609, -62.3346, 192.629
 165.849, -77.0752, -1659.73, 1669.94, -145.922, 83.8761, -637.089, 659.773
 -49.9924, 130.921, -494.836, 515.057, 65.2974, -99.0208, -137.992, 183.736
 29.6415, 119.456, -288.427, 313.867, -6.8758, -101.191, 60.1558, 119.008
 115.947, -34.1888, 70.1079, 141.198, -69.729, 19.5624, 669.438, 673.526
 -67.3384, -71.93, 1967.21, 1969.9, 56.7967, 53.6652, 96.2348, 124.136
 -123.27, -121.931, 1040.98, 1055.64, 124.563, 110.071, 429.027, 460.71
 -157.853, -17.246, -370.118, 402.982, 143.679, 16.9105, -32.6168, 152.147
 -1.53329, -182.318, -24.1173, 187.523, 20.9069, 160.774, -153.752, 223.656
 -108.696, -119.055, 291.524, 333.334, 109.48, 89.0118, 13.3364, 142.871
 -14.4231, -88.6018, -37.2359, 97.5216, 35.0934, 79.3682, 288.618, 301.428
 -100.639, 58.3773, -1093.73, 1100.32, 94.4736, -63.4166, -134.057, 177.015
 135.19, -145.279, 181.868, 270.04, -101.261, 151.658, 223.365, 290.352
 0.638715, 162.495, -49.788, 170.187, 12.8554, -157.917, 162.869, 227.492
