## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
 -44.8369, -40.6479, 228.553, 236.608, 32.8342, 6.87554, 52.1366, 62.8323
 -78.7131, -26.7129, 176.246, 195.02, 56.186, 14.3823, -119.367, 133.322
 -51.4092, -55.8143, 806.482, 810.2, 36.7528, 50.234, 466.955, 471.137
 -46.3095, 16.1448, 25.6504, 56.4616, 43.3384, -0.279822, -61.2125, 75.091
 -59.7404, 40.2726, -2260.29, 2261.57, 18.3533, -21.613, -341.871, 343.076
 -46.0075, 3.77038, -48.4091, 67.3195, 45.593, 4.68556, 6.48539, 46.3741
 -45.6051, -21.1137, 179.443, 186.633, 46.1024, -0.953731, -5.82519, 47.2339
 -50.4928, -42.9144, -47.7448, 82.0031, 31.7263, 23.1749, 3.17726, 39.7381
 -10.2048, -38.3536, -46.7383, 61.5258, 9.32104, 38.4433, -21.6317, 45.1578
 -19.5511, -68.1761, -170.071, 184.83, 34.956, 50.9034, 173.943, 184.864
 75.6127, -39.4929, 2019.46, 2021.34, -58.2396, 30.5238, 374.199, 380.315
 32.992, -61.5984, 96.4752, 119.632, -21.5281, 57.2445, -51.7097, 80.2059
 103.757, -79.3284, 753.806, 765.155, -80.2413, 58.5869, 119.759, 158.774
 -61.2905, -7.90488, 16.2811, 64.5239, 56.5861, -8.46873, -65.6309, 87.5753
 58.3027, 72.4024, -459.626, 468.978, -55.4397, -58.58, -211.405, 226.918
 43.2569, 58.4988, -201.572, 214.45, -9.47758, -59.536, -363.424, 368.68
 -47.126, 21.0275, -144.934, 154.294, 34.8592, -24.0364, -168.638, 174.196
 65.4453, -8.22713, -67.6753, 94.9523, -22.6316, -9.10091, -162.228, 164.164
 -35.7491, -33.5582, -238.771, 243.871, -3.86038, 47.7282, -68.4014, 83.9306
 -33.3561, 41.1383, -91.5165, 106.203, 26.5938, -23.7565, -86.6793, 94.5181
 -180.196, 168.195, -1054.8, 1083.31, 134.51, -113.917, 38.5789, 182.364
 -21.4214, 66.177, -256.829, 266.206, 22.3374, -63.7729, 64.228, 93.9616
 22.2833, -81.213, -80.7055, 117.375, -17.9823, 67.6983, -28.2423, 75.7648
 -0.570394, -92.1342, -396.812, 407.83, 11.3997, 64.7543, 137.845, 153.36
 49.9598, -18.6466, -30.0822, 62.1114, -46.9697, 13.6514, -708.46, 710.219
 39.3621, 17.5363, 659.807, 661.284, -24.4805, -27.9576, -304.521, 306.946
 -66.6475, -16.1701, -48.2777, 85.026, 44.4124, 17.669, 45.1288, 66.1037
 -79.9887, -6.3632, -33.3443, 87.4577, 39.4981, 7.69596, -25.017, 47.5642
 -15.1687, 65.4477, 304.084, 311.964, 10.5051, -49.5792, 655.836, 657.833
 8.33592, 63.1071, 7.20185, 67.1116, -3.94028, -34.3065, 25.7283, 43.4681
 -55.7828, 37.4601, 15.9265, 69.7239, 49.0214, -19.2018, -49.2462, 72.5403
 -107.405, 25.8535, 750.336, 758.521, 93.5032, -26.8924, 73.9299, 125.153
 -56.4015, 62.3813, -568.801, 575.127, 57.8091, -50.2224, -1311.49, 1313.75
 8.36565, 35.8513, -32.8345, 49.8086, -10.4057, -24.3323, 60.6159, 66.6049
 64.2679, -0.316388, 85.6288, 107.98, -57.3901, -27.9165, -4.20128, 64.503
 -53.0289, 2.7252, -169.233, 177.65, 43.8607, -2.25645, 22.8051, 49.7363
 -53.0784, 10.1017, -99.387, 113.764, 51.8744, 12.4162, 23.7774, 58.6162
 -53.8156, 23.2688, 12.4067, 60.4596, 43.6288, -30.5075, -59.7489, 80.2899
 36.1985, 52.513, -49.7383, 81.7765, -18.3902, -48.8307, 56.2892, 77.2531
 -50.6025, -197.981, -62.3357, 214.206, 23.8991, 193.992, -218.085, 294.472
 -53.2278, 0.93646, -24.5365, 59.1692, 40.9459, -3.88734, -64.8607, 77.616
 50.5598, -13.2767, -55.9209, 77.5692, -44.7777, 8.08799, -368.276, 371.313
 62.8779, -13.8045, -65.538, 92.1531, -47.0051, 17.0905, 30.9855, 59.2058
 51.8693, -18.2262, 1460.42, 1461.48, -23.4944, 35.0833, 283.304, 286.517
 -48.1304, 32.0512, -113.798, 128.019, 50.0759, -8.50076, -68.3068, 85.5511
 -1.85905, -51.6381, -166.83, 174.937, -10.292, 49.8274, -305.64, 310.04
 2.57715, 88.9736, 742.398, 747.831, 14.5583, -45.7074, -6.68209, 49.7954
 -36.8973, 79.2654, 398.302, 408.243, 36.6328, -65.7028, -36.5123, 84.5328
 -13.5383, 66.783, 121.885, 139.954, 9.59765, -59.7951, 273.693, 280.494
 44.4136, -42.2442, -161.192, 172.686, -41.2776, 22.0608, 9.16625, 48.5146
 -69.12, 5.66462, -677.049, 680.859, 56.1399, -1.27548, -377.268, 381.617
 -27.1361, 41.4298, 448.694, 451.515, 23.8592, -29.5622, 27.679, 47.3832
 79.1935, -56.802, -601.476, 609.547, -45.7047, 60.6782, 80.2863, 111.944
 79.8008, 14.5866, 8.88726, 82.5746, -37.651, -20.5956, -117.983, 125.717
 -19.5195, 45.2512, -110.481, 121.318, 5.25926, -45.3834, -871.175, 872.495
 9.7422, -60.8157, 33.2399, 70.5031, -11.8971, 45.7511, 14.2225, 50.3014
 -44.9511, -9.05518, -40.4902, 61.9398, 33.4117, 11.6471, 144.444, 148.914
 55.3951, 18.0958, -636.059, 638.828, -26.3861, 4.04212, 100.076, 103.878
 23.5203, 39.3248, -329.83, 333.098, -19.3943, -34.8558, -534.591, 536.151
 -54.4152, -6.66807, -35.1093, 65.442, 45.3083, -4.42587, 14.2211, 48.141
 -28.6709, -39.33, -6.01508, 50.572, 19.8531, 28.1098, 2.63658, 34.9208
 26.9939, 54.8392, 25.4696, 68.1333, -31.391, -25.2116, 214.998, 218.885
 45.4165, -22.4551, -113.85, 125.065, -26.0001, 21.0731, -171.499, 174.819
 -37.716, -44.2133, -964.686, 966.496, 24.4269, 46.307, -670.432, 672.709
 -45.0307, -18.7518, -10.6527, 51.6091, 33.4555, 30.1807, 203.548, 208.694
 47.0738, 73.0219, -127.835, 155.315, -38.8744, -35.0714, -17.0642, 55.2774
 -64.6742, 11.8055, 132.902, 149.338, 50.6358, 15.1492, -26.0226, 59.0784
 -20.5312, -49.1007, -85.6342, 101.788, 10.5949, 48.782, -279.868, 284.44
 -2.13021, 44.5908, 62.2453, 77.6979, 0.373371, -39.0512, 8.61542, 40.3841
 -49.6103, 17.5816, -118.12, 129.745, 39.6301, -23.6018, -627.297, 629.081
 -61.8572, -21.1515, -429.608, 434.844, 50.9275, 15.7183, -89.1631, 105.376
 -16.9426, 55.6321, 164.191, 174.772, 8.9082, -52.558, 224.226, 230.964
 -47.4483, -47.906, 415.811, 421.352, 27.6998, 46.2944, 151.256, 161.187
 61.493, -30.6168, -48.3422, 84.4008, -59.6852, 33.5058, -56.3199, 89.3384
 26.2138, 62.3779, -468.818, 473.795, -3.7165, -40.1762, -709.54, 710.754
 53.0742, -50.8328, -148.132, 165.859, -41.8204, 37.4124, 220.143, 227.364
 35.7624, 56.65, 53.1761, 87.3373, -14.786, -64.9563, 147.278, 162.459
 29.0178, 18.551, 42.7459, 55.3858, -10.3763, -23.651, 372.32, 373.341
 -64.2926, 18.7342, -833.69, 836.507, 32.8879, 5.3149, 3.80244, 34.66
 -23.9441, -51.2951, -59.9138, 83.1121, 10.7058, 45.7869, -8.49288, 49.1179
